# ========================================================
# 4-BAR PLANAR ANALYTICAL KINEMATIC DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (205.0, 0.0) mm
# Ground Distance (d): 205.0 mm
# Link 1 (Crank L1): 85.0 mm
# Link 2 (Coupler L2): 207.80038498520642 mm
# Link 3 (Rocker L3): 119.0 mm
# Coupler Point Offset (LP): 164.45364088398895 mm
# Coupler Point Angle (alpha): 28.916346831104075 deg
# Crank Velocity (omega1): 10.0 rad/s
# ========================================================
crank_angle_deg,coupler_p_x,coupler_p_y,vel_x,vel_y,vel_mag,acc_x,acc_y,acc_mag,acc_tangential,acc_normal
23.5,192.0924,152.2851,68.1861,386.9899,392.951,-18047.5241,3793.8556,18441.9757,604.6378,18432.0612
24.0,192.1451,152.6242,52.5432,390.2474,393.7687,-17803.6644,3671.2189,18178.2373,1262.7252,18134.3276
24.5,192.1842,152.9662,37.1123,393.3964,395.1431,-17561.7447,3545.2154,17916.0104,1880.1246,17817.0862
25.0,192.2099,153.3108,21.8916,396.4341,397.0381,-17321.9371,3416.1667,17655.5855,2455.8862,17483.9447
25.5,192.2225,153.658,6.8792,399.3579,399.4172,-17084.3947,3284.3804,17397.2324,2989.6489,17138.4275
26.0,192.222,154.0078,-7.927,402.1657,402.2438,-16849.2526,3150.1502,17141.2007,3481.5863,16783.9005
26.5,192.2087,154.3599,-22.5291,404.8553,405.4817,-16616.6293,3013.7559,16887.7202,3932.3411,16423.5132
27.0,192.1827,154.7143,-36.9293,407.4251,409.0954,-16386.6271,2875.4635,16637.0021,4342.9537,16060.1554
27.5,192.1443,155.071,-51.1299,409.8735,413.0503,-16159.3339,2735.5258,16389.2395,4714.7888,15696.4308
28.0,192.0936,155.4297,-65.1334,412.1991,417.3134,-15934.8236,2594.1819,16144.6085,5049.4645,15334.6435
28.5,192.0307,155.7904,-78.9423,414.4009,421.853,-15713.1574,2451.6583,15903.2683,5348.7861,14976.7964
29.0,191.9558,156.1529,-92.5589,416.4778,426.6391,-15494.3846,2308.1687,15665.3629,5614.6856,14624.5992
29.5,191.8692,156.5172,-105.9859,418.4291,431.6433,-15278.5433,2163.9145,15431.0211,5849.1701,14279.4825
30.0,191.7709,156.8832,-119.2259,420.2544,436.8393,-15065.6617,2019.0853,15200.3575,6054.277,13942.6181
30.5,191.6612,157.2507,-132.2813,421.953,442.2021,-14855.7585,1873.8592,14973.4735,6232.0373,13614.941
31.0,191.5401,157.6196,-145.1549,423.5248,447.7088,-14648.8436,1728.4032,14750.4575,6384.4469,13297.174
31.5,191.4079,157.9898,-157.8492,424.9696,453.3382,-14444.9195,1582.8736,14531.3863,6513.4432,12989.8517
32.0,191.2646,158.3612,-170.3669,426.2875,459.0707,-14243.9812,1437.4164,14316.3252,6620.8888,12693.3447
32.5,191.1106,158.7338,-182.7105,427.4784,464.8881,-14046.0172,1292.168,14105.3287,6708.5593,12407.8818
33.0,190.9458,159.1073,-194.8827,428.5428,470.7741,-13851.0103,1147.2553,13898.4416,6778.1357,12133.5715
33.5,190.7705,159.4817,-206.886,429.4809,476.7134,-13658.9377,1002.7962,13695.6993,6831.1999,11870.4207
34.0,190.5848,159.8569,-218.7229,430.2932,482.6924,-13469.772,858.9002,13497.1281,6869.2332,11618.352
34.5,190.3888,160.2327,-230.396,430.9802,488.6985,-13283.4816,715.6687,13302.7465,6893.6165,11377.2192
35.0,190.1827,160.609,-241.9078,431.5425,494.7204,-13100.0309,573.1953,13112.565,6905.6326,11146.8202
35.5,189.9666,160.9858,-253.2607,431.9808,500.7478,-12919.3811,431.5664,12926.5872,6906.4693,10926.9089
36.0,189.7407,161.3629,-264.4571,432.296,506.7715,-12741.4903,290.8614,12744.8098,6897.2232,10717.2052
36.5,189.5051,161.7403,-275.4996,432.4888,512.7831,-12566.3143,151.1534,12567.2234,6878.9047,10517.4033
37.0,189.2599,162.1177,-286.3903,432.5601,518.7751,-12393.8065,12.5092,12393.8128,6852.4425,10327.1791
37.5,189.0053,162.4952,-297.1316,432.5109,524.7408,-12223.9184,-125.0104,12224.5576,6818.6888,10146.1959
38.0,188.7414,162.8726,-307.7258,432.3423,530.6741,-12056.6,-261.3496,12059.4323,6778.4246,9974.1098
38.5,188.4683,163.2497,-318.1751,432.0551,536.5697,-11891.7999,-396.4581,11898.4068,6732.3642,9810.5737
39.0,188.1861,163.6266,-328.4816,431.6507,542.4228,-11729.4659,-530.2904,11741.447,6681.1606,9655.2407
39.5,187.895,164.0031,-338.6476,431.13,548.2292,-11569.5447,-662.8052,11588.5148,6625.4095,9507.7666
40.0,187.5951,164.379,-348.675,430.4943,553.9851,-11411.9826,-793.9658,11439.5686,6565.6543,9367.8126
40.5,187.2865,164.7544,-358.5659,429.7447,559.6874,-11256.7253,-923.7392,11294.5633,6502.3901,9235.0464
41.0,186.9693,165.1291,-368.3223,428.8824,565.3331,-11103.7185,-1052.0963,11153.4511,6436.0673,9109.1442
41.5,186.6437,165.5029,-377.9462,427.9088,570.9197,-10952.9076,-1179.0112,11016.1814,6367.0957,8989.7912
42.0,186.3097,165.8759,-387.4394,426.8251,576.4451,-10804.2383,-1304.4614,10882.7012,6295.8476,8876.6823
42.5,185.9675,166.2478,-396.8037,425.6325,581.9074,-10657.6564,-1428.4273,10752.9551,6222.661,8769.523
43.0,185.6172,166.6187,-406.0411,424.3325,587.3052,-10513.1079,-1550.892,10626.8859,6147.8425,8668.0296
43.5,185.2589,166.9884,-415.1531,422.9262,592.6371,-10370.5396,-1671.8414,10504.4345,6071.67,8571.9291
44.0,184.8927,167.3568,-424.1416,421.415,597.9019,-10229.8984,-1791.2635,10385.5403,5994.3954,8480.9593
44.5,184.5186,167.7239,-433.0082,419.8003,603.099,-10091.1321,-1909.1486,10270.141,5916.2462,8394.8691
45.0,184.1369,168.0895,-441.7545,418.0834,608.2275,-9954.1892,-2025.4892,10158.1735,5837.4284,8313.418
