# ========================================================
# 4-BAR PLANAR ANALYTICAL KINEMATIC DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank L1): 50.0 mm
# Link 2 (Coupler L2): 120.0 mm
# Link 3 (Rocker L3): 100.0 mm
# Coupler Point Offset (LP): 80.0 mm
# Coupler Point Angle (alpha): 30.0 deg
# Crank Velocity (omega1): 10.0 rad/s
# ========================================================
crank_angle_deg,coupler_p_x,coupler_p_y,vel_x,vel_y,vel_mag,acc_x,acc_y,acc_mag,acc_tangential,acc_normal
23.5,70.8654,95.9268,182.0031,332.9971,379.4894,-7888.7119,-3027.8542,8449.833,-6440.3299,5470.0849
24.0,71.0212,96.2162,175.1117,330.3594,373.9003,-7904.8744,-3017.4946,8461.224,-6368.2583,5571.1398
24.5,71.171,96.5034,168.2074,327.7306,368.3762,-7918.246,-3007.3027,8470.0938,-6291.1016,5671.378
25.0,71.3148,96.7882,161.2925,325.1106,362.9217,-7928.878,-2997.3196,8476.4987,-6208.8575,5770.7122
25.5,71.4525,97.0708,154.3696,322.4992,357.5412,-7936.8232,-2987.5839,8480.4965,-6121.5263,5869.049
26.0,71.5842,97.3511,147.4409,319.8962,352.2391,-7942.1359,-2978.1318,8482.1455,-6029.1117,5966.289
26.5,71.7098,97.6291,140.5087,317.3013,347.0199,-7944.8715,-2968.9975,8481.5051,-5931.6213,6062.3261
27.0,71.8294,97.9049,133.5753,314.7142,341.8879,-7945.0863,-2960.213,8478.6353,-5829.0676,6157.0471
27.5,71.943,98.1784,126.6427,312.1346,336.8477,-7942.8377,-2951.8078,8473.5967,-5721.4684,6250.3313
28.0,72.0505,98.4497,119.7131,309.5622,331.9036,-7938.1839,-2943.8096,8466.4502,-5608.848,6342.0503
28.5,72.1519,98.7187,112.7886,306.9966,327.0599,-7931.1834,-2936.2436,8457.257,-5491.2385,6432.0678
29.0,72.2473,98.9855,105.8712,304.4373,322.321,-7921.8954,-2929.1332,8446.0789,-5368.6803,6520.2393
29.5,72.3367,99.2501,98.9629,301.8841,317.6912,-7910.3795,-2922.4995,8432.9773,-5241.2237,6606.4121
30.0,72.4201,99.5124,92.0656,299.3365,313.1747,-7896.6952,-2916.3618,8418.014,-5108.93,6690.4256
30.5,72.4974,99.7725,85.1812,296.794,308.7758,-7880.9023,-2910.7372,8401.2506,-4971.8729,6772.1113
31.0,72.5687,100.0304,78.3115,294.2561,304.4985,-7863.0606,-2905.6412,8382.7485,-4830.14,6851.2933
31.5,72.6341,100.2861,71.4582,291.7225,300.3469,-7843.2296,-2901.0872,8362.5689,-4683.8338,6927.7889
32.0,72.6935,100.5395,64.623,289.1926,296.325,-7821.4688,-2897.0868,8340.7725,-4533.0734,7001.4093
32.5,72.7469,100.7908,57.8077,286.666,292.4365,-7797.8372,-2893.6501,8317.42,-4377.9959,7071.9606
33.0,72.7943,101.0399,51.0137,284.1421,288.6852,-7772.3933,-2890.7852,8292.5712,-4218.7571,7139.2454
33.5,72.8359,101.2867,44.2428,281.6204,285.0745,-7745.1953,-2888.4989,8266.2855,-4055.5336,7203.0635
34.0,72.8716,101.5314,37.4963,279.1005,281.608,-7716.3008,-2886.7962,8238.6219,-3888.5229,7263.2142
34.5,72.9014,101.7739,30.7758,276.5819,278.2888,-7685.7666,-2885.6808,8209.6384,-3717.9446,7319.4979
35.0,72.9253,102.0141,24.0826,274.0639,275.12,-7653.6489,-2885.1548,8179.3924,-3544.0412,7371.7184
35.5,72.9434,102.2522,17.4181,271.5461,272.1042,-7620.0032,-2885.2192,8147.9407,-3367.0779,7419.685
36.0,72.9557,102.4881,10.7836,269.0281,269.2441,-7584.884,-2885.8733,8115.3392,-3187.3429,7463.2148
36.5,72.9622,102.7217,4.1804,266.5092,266.5419,-7548.3451,-2887.1156,8081.6428,-3005.147,7502.1358
37.0,72.963,102.9532,-2.3903,263.9889,263.9997,-7510.4392,-2888.9432,8046.9056,-2820.8225,7536.2888
37.5,72.9581,103.1825,-8.9274,261.4668,261.6192,-7471.2182,-2891.352,8011.1808,-2634.7223,7565.5308
38.0,72.9474,103.4096,-15.4297,258.9424,259.4017,-7430.7329,-2894.3372,7974.5207,-2447.218,7589.7367
38.5,72.9312,103.6344,-21.8961,256.4151,257.3483,-7389.0333,-2897.8926,7936.9764,-2258.698,7608.8027
39.0,72.9092,103.8571,-28.3257,253.8845,255.4597,-7346.168,-2902.0114,7898.5983,-2069.5649,7622.6476
39.5,72.8817,104.0775,-34.7173,251.35,253.7363,-7302.1849,-2906.6858,7859.4355,-1880.2327,7631.2156
40.0,72.8487,104.2958,-41.0701,248.8112,252.178,-7257.1304,-2911.9072,7819.5362,-1691.1234,7634.4776
40.5,72.8101,104.5118,-47.3831,246.2676,250.7845,-7211.0503,-2917.6663,7778.9474,-1502.6637,7632.4324
41.0,72.766,104.7256,-53.6554,243.7187,249.5551,-7163.9889,-2923.9529,7737.7152,-1315.281,7625.108
41.5,72.7164,104.9372,-59.8863,241.1642,248.4885,-7115.9895,-2930.7563,7695.8845,-1129.4,7612.5616
42.0,72.6615,105.1465,-66.0749,238.6034,247.5833,-7067.0942,-2938.0654,7653.4991,-945.4383,7594.8796
42.5,72.6011,105.3536,-72.2205,236.0361,246.8377,-7017.3443,-2945.8681,7610.6018,-763.8026,7572.1771
43.0,72.5354,105.5585,-78.3223,233.4618,246.2494,-6966.7795,-2954.1523,7567.2341,-584.8853,7544.5969
43.5,72.4644,105.7611,-84.3796,230.88,245.816,-6915.4388,-2962.9049,7523.4367,-409.0608,7512.3078
44.0,72.3882,105.9614,-90.3918,228.2904,245.5345,-6863.3598,-2972.1129,7479.2488,-236.6822,7475.5029
44.5,72.3067,106.1595,-96.3582,225.6926,245.4018,-6810.579,-2981.7626,7434.7088,-68.0783,7434.3971
45.0,72.22,106.3553,-102.2783,223.0861,245.4145,-6757.132,-2991.8402,7389.8539,96.4483,7389.2245
45.5,72.1282,106.5489,-108.1514,220.4707,245.5689,-6703.0533,-3002.3313,7344.7203,256.6235,7340.2357
46.0,72.0313,106.7401,-113.9771,217.846,245.861,-6648.376,-3013.2215,7299.3429,412.2034,7287.6948
46.5,71.9293,106.9291,-119.7549,215.2115,246.2869,-6593.1325,-3024.4961,7253.7558,562.9749,7231.8761
47.0,71.8223,107.1157,-125.4842,212.5671,246.8422,-6537.3539,-3036.1403,7207.9917,708.7561,7173.0614
47.5,71.7103,107.3001,-131.1646,209.9124,247.5224,-6481.0706,-3048.139,7162.0826,849.3968,7111.5365
48.0,71.5933,107.4821,-136.7956,207.247,248.3231,-6424.3115,-3060.477,7116.0591,984.7778,7047.589
48.5,71.4715,107.6618,-142.377,204.5707,249.2396,-6367.105,-3073.1391,7069.9512,1114.8101,6981.5047
49.0,71.3449,107.8391,-147.9082,201.8833,250.2673,-6309.4781,-3086.1099,7023.7873,1239.4336,6913.5659
49.5,71.2134,108.0141,-153.389,199.1844,251.4013,-6251.4573,-3099.3741,6977.5954,1358.6159,6844.0485
50.0,71.0772,108.1868,-158.819,196.4738,252.6369,-6193.0677,-3112.9163,6931.4021,1472.3507,6773.2207
50.5,70.9362,108.357,-164.1978,193.7512,253.9694,-6134.3337,-3126.7211,6885.2331,1580.6555,6701.3404
51.0,70.7906,108.5249,-169.5253,191.0165,255.3941,-6075.279,-3140.7731,6839.1133,1683.57,6628.6546
51.5,70.6404,108.6904,-174.8011,188.2695,256.9063,-6015.9261,-3155.057,6793.0664,1781.1537,6555.398
52.0,70.4855,108.8535,-180.025,185.5099,258.5013,-5956.2968,-3169.5575,6747.1154,1873.4842,6481.7917
52.5,70.3262,109.0142,-185.1967,182.7375,260.1746,-5896.4121,-3184.2595,6701.2823,1960.6547,6408.0432
53.0,70.1623,109.1724,-190.3161,179.9522,261.9218,-5836.2921,-3199.1479,6655.5881,2042.7722,6334.3456
53.5,69.994,109.3283,-195.3829,177.1539,263.7385,-5775.9563,-3214.2076,6610.0531,2119.9554,6260.8778
54.0,69.8213,109.4816,-200.397,174.3423,265.6204,-5715.4234,-3229.4238,6564.6967,2192.3328,6187.8041
54.5,69.6443,109.6325,-205.3582,171.5174,267.5635,-5654.7111,-3244.7818,6519.5373,2260.0409,6115.2744
55.0,69.4629,109.781,-210.2663,168.6791,269.5636,-5593.8366,-3260.2671,6474.5926,2323.2227,6043.425
55.5,69.2773,109.9269,-215.1212,165.8272,271.617,-5532.8166,-3275.8651,6429.8796,2382.0261,5972.3784
56.0,69.0875,110.0704,-219.9228,162.9616,273.7198,-5471.6668,-3291.5617,6385.4143,2436.6022,5902.2441
56.5,68.8935,110.2114,-224.671,160.0823,275.8685,-5410.4024,-3307.3427,6341.212,2487.1044,5833.1193
57.0,68.6954,110.3498,-229.3657,157.1892,278.0595,-5349.0379,-3323.1943,6297.2873,2533.6874,5765.0893
57.5,68.4932,110.4857,-234.0068,154.2822,280.2895,-5287.5874,-3339.1028,6253.654,2576.5057,5698.2284
