# ========================================================
# 4-BAR PLANAR KINEMATIC ENGINE DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank Length L1): 50.0 mm
# Link 2 (Coupler Length L2): 120.0 mm
# Link 3 (Rocker Length L3): 100.0 mm
# Coupler Point Offset (LP): 80.0 mm
# Coupler Point Offset Angle (alpha): 30.0 deg (ref to segment AB)
# Resolution Steps: 720 (Step size: 0.50 deg)
# ========================================================
step,crank_angle_deg,coupler_angle_deg,rocker_angle_deg,pivot_a_x,pivot_a_y,pivot_b_x,pivot_b_y,coupler_p_x,coupler_p_y
259,129.5,20.4353,126.4099,-31.8039,38.5812,80.6442,80.4791,19.1521,100.2537
260,130.0,20.4474,126.6555,-32.1394,38.3022,80.2998,80.224,18.8035,99.9855
261,130.5,20.4606,126.9006,-32.4724,38.0203,79.9571,79.9678,18.4563,99.7152
262,131.0,20.4747,127.1452,-32.803,37.7355,79.6163,79.7107,18.1106,99.443
263,131.5,20.4898,127.3894,-33.131,37.4478,79.2771,79.4527,17.7662,99.1687
264,132.0,20.5059,127.6331,-33.4565,37.1572,78.9398,79.1938,17.4233,98.8925
265,132.5,20.523,127.8762,-33.7795,36.8639,78.6043,78.9339,17.0819,98.6143
266,133.0,20.5411,128.1188,-34.0999,36.5677,78.2706,78.6732,16.742,98.3342
267,133.5,20.5602,128.3609,-34.4177,36.2687,77.9387,78.4117,16.4036,98.0521
268,134.0,20.5803,128.6024,-34.7329,35.967,77.6087,78.1494,16.0668,97.7682
269,134.5,20.6014,128.8434,-35.0455,35.6625,77.2806,77.8863,15.7314,97.4825
270,135.0,20.6236,129.0837,-35.3553,35.3553,76.9544,77.6225,15.3977,97.1949
271,135.5,20.6467,129.3235,-35.6625,35.0455,76.6302,77.358,15.0655,96.9055
272,136.0,20.6709,129.5627,-35.967,34.7329,76.3078,77.0929,14.7349,96.6144
273,136.5,20.6961,129.8012,-36.2687,34.4177,75.9875,76.827,14.406,96.3215
274,137.0,20.7223,130.039,-36.5677,34.0999,75.6691,76.5606,14.0787,96.0269
275,137.5,20.7496,130.2762,-36.8639,33.7795,75.3527,76.2936,13.753,95.7306
276,138.0,20.7779,130.5128,-37.1572,33.4565,75.0383,76.0261,13.429,95.4326
277,138.5,20.8073,130.7486,-37.4478,33.131,74.7259,75.7581,13.1067,95.133
278,139.0,20.8377,130.9837,-37.7355,32.803,74.4155,75.4896,12.7861,94.8318
279,139.5,20.8692,131.2181,-38.0203,32.4724,74.1073,75.2206,12.4672,94.529
280,140.0,20.9017,131.4518,-38.3022,32.1394,73.801,74.9513,12.15,94.2246
281,140.5,20.9353,131.6847,-38.5812,31.8039,73.4969,74.6816,11.8346,93.9187
282,141.0,20.97,131.9169,-38.8573,31.466,73.1949,74.4115,11.5209,93.6113
283,141.5,21.0058,132.1482,-39.1304,31.1257,72.8949,74.1411,11.209,93.3025
284,142.0,21.0426,132.3788,-39.4005,30.7831,72.5971,73.8705,10.8989,92.9922
285,142.5,21.0805,132.6085,-39.6677,30.4381,72.3014,73.5996,10.5905,92.6804
286,143.0,21.1195,132.8375,-39.9318,30.0908,72.0079,73.3285,10.284,92.3673
287,143.5,21.1597,133.0655,-40.1928,29.7411,71.7165,73.0573,9.9793,92.0529
288,144.0,21.2009,133.2928,-40.4508,29.3893,71.4273,72.7859,9.6765,91.7371
289,144.5,21.2432,133.5191,-40.7058,29.0351,71.1403,72.5144,9.3755,91.42
290,145.0,21.2866,133.7446,-40.9576,28.6788,70.8555,72.2429,9.0764,91.1016
291,145.5,21.3312,133.9692,-41.2063,28.3203,70.5729,71.9713,8.7791,90.782
292,146.0,21.3769,134.1928,-41.4519,27.9596,70.2925,71.6998,8.4837,90.4611
293,146.5,21.4237,134.4155,-41.6943,27.5968,70.0143,71.4283,8.1902,90.1391
294,147.0,21.4717,134.6373,-41.9335,27.232,69.7383,71.1569,7.8986,89.816
295,147.5,21.5207,134.8581,-42.1696,26.865,69.4646,70.8855,7.6089,89.4917
296,148.0,21.571,135.078,-42.4024,26.496,69.1931,70.6144,7.3212,89.1663
297,148.5,21.6223,135.2968,-42.632,26.1249,68.9239,70.3434,7.0354,88.8398
298,149.0,21.6749,135.5147,-42.8584,25.7519,68.657,70.0726,6.7515,88.5123
299,149.5,21.7286,135.7315,-43.0815,25.3769,68.3923,69.8021,6.4695,88.1838
300,150.0,21.7834,135.9473,-43.3013,25.0,68.1299,69.5319,6.1896,87.8542
301,150.5,21.8395,136.1621,-43.5178,24.6212,67.8698,69.2621,5.9116,87.5238
302,151.0,21.8967,136.3758,-43.731,24.2405,67.612,68.9926,5.6355,87.1924
303,151.5,21.9551,136.5884,-43.9409,23.8579,67.3564,68.7234,5.3615,86.8601
304,152.0,22.0146,136.7999,-44.1474,23.4736,67.1032,68.4548,5.0894,86.527
305,152.5,22.0754,137.0104,-44.3505,23.0874,66.8523,68.1866,4.8194,86.193
306,153.0,22.1373,137.2197,-44.5503,22.6995,66.6037,67.9189,4.5513,85.8583
307,153.5,22.2005,137.4279,-44.7467,22.3099,66.3574,67.6518,4.2853,85.5227
308,154.0,22.2649,137.6349,-44.9397,21.9186,66.1134,67.3852,4.0213,85.1864
309,154.5,22.3304,137.8408,-45.1293,21.5256,65.8717,67.1193,3.7593,84.8494
310,155.0,22.3972,138.0455,-45.3154,21.1309,65.6324,66.854,3.4993,84.5117
311,155.5,22.4652,138.2491,-45.4981,20.7347,65.3953,66.5894,3.2414,84.1734
312,156.0,22.5344,138.4514,-45.6773,20.3368,65.1606,66.3255,2.9855,83.8344
313,156.5,22.6049,138.6525,-45.853,19.9375,64.9283,66.0624,2.7316,83.4948
314,157.0,22.6766,138.8525,-46.0252,19.5366,64.6982,65.8,2.4798,83.1546
315,157.5,22.7495,139.0511,-46.194,19.1342,64.4705,65.5385,2.2301,82.8139
316,158.0,22.8237,139.2485,-46.3592,18.7303,64.2452,65.2779,1.9824,82.4727
317,158.5,22.8991,139.4447,-46.5209,18.3251,64.0221,65.0182,1.7368,82.131
318,159.0,22.9757,139.6396,-46.679,17.9184,63.8014,64.7594,1.4932,81.7888
319,159.5,23.0536,139.8332,-46.8336,17.5104,63.583,64.5015,1.2517,81.4463
320,160.0,23.1328,140.0255,-46.9846,17.101,63.367,64.2447,1.0123,81.1033
321,160.5,23.2132,140.2165,-47.1321,16.6903,63.1532,63.9889,0.775,80.7599
322,161.0,23.2949,140.4062,-47.2759,16.2784,62.9418,63.7341,0.5398,80.4162
323,161.5,23.3779,140.5945,-47.4162,15.8652,62.7328,63.4805,0.3066,80.0722
324,162.0,23.4621,140.7815,-47.5528,15.4508,62.526,63.228,0.0755,79.7279
325,162.5,23.5476,140.9671,-47.6858,15.0353,62.3215,62.9766,-0.1535,79.3834
326,163.0,23.6344,141.1514,-47.8152,14.6186,62.1194,62.7265,-0.3804,79.0386
327,163.5,23.7225,141.3343,-47.941,14.2008,61.9196,62.4776,-0.6052,78.6936
328,164.0,23.8118,141.5157,-48.0631,13.7819,61.7221,62.23,-0.828,78.3484
329,164.5,23.9025,141.6958,-48.1815,13.3619,61.5269,61.9836,-1.0486,78.0031
330,165.0,23.9944,141.8745,-48.2963,12.941,61.334,61.7386,-1.2671,77.6577
331,165.5,24.0876,142.0518,-48.4074,12.519,61.1433,61.4949,-1.4836,77.3122
332,166.0,24.1821,142.2276,-48.5148,12.0961,60.955,61.2527,-1.6979,76.9666
333,166.5,24.2779,142.402,-48.6185,11.6723,60.7689,61.0118,-1.9101,76.6209
334,167.0,24.375,142.5749,-48.7185,11.2476,60.5852,60.7724,-2.1203,76.2753
335,167.5,24.4734,142.7464,-48.8148,10.822,60.4036,60.5345,-2.3283,75.9296
336,168.0,24.5731,142.9163,-48.9074,10.3956,60.2244,60.298,-2.5343,75.584
337,168.5,24.6741,143.0849,-48.9962,9.9684,60.0474,60.0632,-2.7381,75.2385
338,169.0,24.7764,143.2519,-49.0814,9.5404,59.8727,59.8298,-2.9399,74.893
339,169.5,24.88,143.4174,-49.1627,9.1118,59.7002,59.5981,-3.1395,74.5477
340,170.0,24.9849,143.5814,-49.2404,8.6824,59.5299,59.368,-3.337,74.2025
341,170.5,25.0912,143.7439,-49.3143,8.2524,59.3618,59.1395,-3.5325,73.8575
342,171.0,25.1987,143.9049,-49.3844,7.8217,59.196,58.9128,-3.7258,73.5126
343,171.5,25.3075,144.0643,-49.4508,7.3905,59.0324,58.6877,-3.9171,73.168
344,172.0,25.4177,144.2222,-49.5134,6.9587,58.8709,58.4643,-4.1062,72.8236
345,172.5,25.5291,144.3786,-49.5722,6.5263,58.7117,58.2427,-4.2933,72.4794
346,173.0,25.6419,144.5334,-49.6273,6.0935,58.5546,58.0229,-4.4782,72.1356
347,173.5,25.756,144.6866,-49.6786,5.6602,58.3998,57.8049,-4.6611,71.792
348,174.0,25.8713,144.8383,-49.7261,5.2264,58.247,57.5887,-4.8419,71.4488
349,174.5,25.988,144.9884,-49.7698,4.7923,58.0965,57.3743,-5.0205,71.1059
350,175.0,26.106,145.1369,-49.8097,4.3578,57.948,57.1618,-5.1971,70.7635
351,175.5,26.2253,145.2838,-49.8459,3.923,57.8017,56.9512,-5.3716,70.4214
352,176.0,26.3459,145.4291,-49.8782,3.4878,57.6575,56.7426,-5.544,70.0797
353,176.5,26.4678,145.5728,-49.9067,3.0524,57.5154,56.5358,-5.7143,69.7385
354,177.0,26.591,145.715,-49.9315,2.6168,57.3755,56.331,-5.8825,69.3977
355,177.5,26.7155,145.8555,-49.9524,2.181,57.2376,56.1282,-6.0487,69.0574
356,178.0,26.8413,145.9944,-49.9695,1.745,57.1017,55.9274,-6.2127,68.7177
357,178.5,26.9684,146.1316,-49.9829,1.3088,56.968,55.7287,-6.3747,68.3784
358,179.0,27.0967,146.2673,-49.9924,0.8726,56.8363,55.5319,-6.5346,68.0397
359,179.5,27.2264,146.4013,-49.9981,0.4363,56.7066,55.3372,-6.6924,67.7016
360,180.0,27.3573,146.5337,-50.0,0.0,56.5789,55.1446,-6.8482,67.3641
361,180.5,27.4895,146.6645,-49.9981,-0.4363,56.4533,54.9541,-7.0018,67.0271
362,181.0,27.623,146.7936,-49.9924,-0.8726,56.3297,54.7657,-7.1534,66.6908
363,181.5,27.7578,146.9211,-49.9829,-1.3088,56.208,54.5794,-7.3029,66.3552
364,182.0,27.8938,147.0469,-49.9695,-1.745,56.0884,54.3952,-7.4504,66.0202
365,182.5,28.0311,147.1711,-49.9524,-2.181,55.9707,54.2132,-7.5958,65.6859
366,183.0,28.1697,147.2936,-49.9315,-2.6168,55.8549,54.0334,-7.7391,65.3523
367,183.5,28.3095,147.4145,-49.9067,-3.0524,55.7411,53.8557,-7.8803,65.0194
368,184.0,28.4506,147.5338,-49.8782,-3.4878,55.6292,53.6802,-8.0195,64.6873
369,184.5,28.5929,147.6513,-49.8459,-3.923,55.5192,53.507,-8.1566,64.3559
370,185.0,28.7364,147.7673,-49.8097,-4.3578,55.4111,53.336,-8.2917,64.0253
371,185.5,28.8812,147.8815,-49.7698,-4.7923,55.3049,53.1672,-8.4247,63.6955
372,186.0,29.0272,147.9941,-49.7261,-5.2264,55.2006,53.0006,-8.5556,63.3665
373,186.5,29.1745,148.1051,-49.6786,-5.6602,55.0981,52.8363,-8.6845,63.0384
374,187.0,29.3229,148.2144,-49.6273,-6.0935,54.9975,52.6743,-8.8114,62.711
375,187.5,29.4726,148.322,-49.5722,-6.5263,54.8987,52.5145,-8.9362,62.3846
376,188.0,29.6234,148.428,-49.5134,-6.9587,54.8017,52.357,-9.0589,62.059
377,188.5,29.7755,148.5323,-49.4508,-7.3905,54.7066,52.2018,-9.1796,61.7343
378,189.0,29.9287,148.6349,-49.3844,-7.8217,54.6132,52.0489,-9.2983,61.4105
379,189.5,30.0831,148.7359,-49.3143,-8.2524,54.5216,51.8984,-9.4149,61.0876
380,190.0,30.2387,148.8352,-49.2404,-8.6824,54.4317,51.7501,-9.5294,60.7657
381,190.5,30.3955,148.9329,-49.1627,-9.1118,54.3437,51.6042,-9.6419,60.4447
382,191.0,30.5534,149.0289,-49.0814,-9.5404,54.2573,51.4606,-9.7524,60.1247
383,191.5,30.7125,149.1233,-48.9962,-9.9684,54.1727,51.3193,-9.8609,59.8057
384,192.0,30.8727,149.216,-48.9074,-10.3956,54.0897,51.1803,-9.9673,59.4877
385,192.5,31.0341,149.307,-48.8148,-10.822,54.0085,51.0437,-10.0716,59.1706
386,193.0,31.1965,149.3964,-48.7185,-11.2476,53.929,50.9095,-10.174,58.8547
387,193.5,31.3601,149.4842,-48.6185,-11.6723,53.8511,50.7776,-10.2743,58.5397
388,194.0,31.5248,149.5703,-48.5148,-12.0961,53.7749,50.6481,-10.3725,58.2258
389,194.5,31.6906,149.6548,-48.4074,-12.519,53.7003,50.5209,-10.4688,57.913
390,195.0,31.8575,149.7376,-48.2963,-12.941,53.6273,50.396,-10.563,57.6012
391,195.5,32.0254,149.8188,-48.1815,-13.3619,53.556,50.2736,-10.6552,57.2906
392,196.0,32.1945,149.8984,-48.0631,-13.7819,53.4863,50.1535,-10.7453,56.981
393,196.5,32.3646,149.9763,-47.941,-14.2008,53.4181,50.0358,-10.8335,56.6726
394,197.0,32.5357,150.0526,-47.8152,-14.6186,53.3516,49.9204,-10.9196,56.3653
395,197.5,32.7079,150.1273,-47.6858,-15.0353,53.2865,49.8074,-11.0036,56.0591
396,198.0,32.8811,150.2004,-47.5528,-15.4508,53.2231,49.6968,-11.0857,55.7541
397,198.5,33.0553,150.2719,-47.4162,-15.8652,53.1612,49.5885,-11.1657,55.4503
398,199.0,33.2305,150.3417,-47.2759,-16.2784,53.1008,49.4826,-11.2437,55.1476
399,199.5,33.4067,150.41,-47.1321,-16.6903,53.0419,49.3791,-11.3197,54.8462
400,200.0,33.5839,150.4766,-46.9846,-17.101,52.9846,49.2779,-11.3937,54.5459
401,200.5,33.7621,150.5416,-46.8336,-17.5104,52.9287,49.1791,-11.4657,54.2469
402,201.0,33.9412,150.6051,-46.679,-17.9184,52.8743,49.0827,-11.5356,53.9491
403,201.5,34.1213,150.6669,-46.5209,-18.3251,52.8213,48.9886,-11.6035,53.6526
404,202.0,34.3023,150.7272,-46.3592,-18.7303,52.7698,48.8968,-11.6694,53.3572
405,202.5,34.4843,150.7859,-46.194,-19.1342,52.7198,48.8075,-11.7333,53.0632
406,203.0,34.6672,150.843,-46.0252,-19.5366,52.6712,48.7204,-11.7952,52.7704
407,203.5,34.8509,150.8986,-45.853,-19.9375,52.624,48.6357,-11.855,52.479
408,204.0,35.0356,150.9526,-45.6773,-20.3368,52.5782,48.5534,-11.9128,52.1888
409,204.5,35.2211,151.005,-45.4981,-20.7347,52.5338,48.4734,-11.9687,51.8999
410,205.0,35.4075,151.0559,-45.3154,-21.1309,52.4908,48.3957,-12.0225,51.6124
411,205.5,35.5948,151.1052,-45.1293,-21.5256,52.4492,48.3203,-12.0743,51.3261
412,206.0,35.7829,151.153,-44.9397,-21.9186,52.4089,48.2473,-12.1241,51.0413
413,206.5,35.9718,151.1992,-44.7467,-22.3099,52.37,48.1766,-12.1718,50.7577
414,207.0,36.1616,151.2439,-44.5503,-22.6995,52.3324,48.1082,-12.2176,50.4756
415,207.5,36.3521,151.2871,-44.3505,-23.0874,52.2962,48.0421,-12.2614,50.1948
416,208.0,36.5435,151.3288,-44.1474,-23.4736,52.2613,47.9783,-12.3031,49.9154
417,208.5,36.7356,151.3689,-43.9409,-23.8579,52.2277,47.9168,-12.3428,49.6374
418,209.0,36.9285,151.4076,-43.731,-24.2405,52.1954,47.8576,-12.3806,49.3608
419,209.5,37.1221,151.4447,-43.5178,-24.6212,52.1644,47.8007,-12.4163,49.0856
420,210.0,37.3165,151.4803,-43.3013,-25.0,52.1347,47.746,-12.45,48.8119
421,210.5,37.5115,151.5145,-43.0815,-25.3769,52.1062,47.6936,-12.4817,48.5396
422,211.0,37.7074,151.5472,-42.8584,-25.7519,52.079,47.6435,-12.5114,48.2688
423,211.5,37.9039,151.5783,-42.632,-26.1249,52.0531,47.5957,-12.5391,47.9994
424,212.0,38.101,151.6081,-42.4024,-26.496,52.0285,47.5501,-12.5647,47.7315
425,212.5,38.2989,151.6363,-42.1696,-26.865,52.005,47.5067,-12.5884,47.4651
426,213.0,38.4974,151.6631,-41.9335,-27.232,51.9828,47.4656,-12.6101,47.2001
427,213.5,38.6966,151.6884,-41.6943,-27.5968,51.9619,47.4266,-12.6297,46.9367
428,214.0,38.8963,151.7123,-41.4519,-27.9596,51.9421,47.39,-12.6474,46.6748
429,214.5,39.0967,151.7347,-41.2063,-28.3203,51.9236,47.3555,-12.663,46.4144
430,215.0,39.2977,151.7557,-40.9576,-28.6788,51.9062,47.3232,-12.6767,46.1556
431,215.5,39.4993,151.7752,-40.7058,-29.0351,51.8901,47.2931,-12.6883,45.8983
432,216.0,39.7015,151.7934,-40.4508,-29.3893,51.8751,47.2653,-12.6979,45.6426
433,216.5,39.9042,151.8101,-40.1928,-29.7411,51.8613,47.2396,-12.7056,45.3884
434,217.0,40.1075,151.8254,-39.9318,-30.0908,51.8487,47.216,-12.7112,45.1358
435,217.5,40.3112,151.8393,-39.6677,-30.4381,51.8373,47.1947,-12.7148,44.8849
436,218.0,40.5156,151.8517,-39.4005,-30.7831,51.827,47.1755,-12.7165,44.6355
437,218.5,40.7204,151.8628,-39.1304,-31.1257,51.8179,47.1584,-12.7161,44.3877
438,219.0,40.9257,151.8725,-38.8573,-31.466,51.8099,47.1435,-12.7137,44.1416
439,219.5,41.1314,151.8808,-38.5812,-31.8039,51.8031,47.1307,-12.7094,43.8971
440,220.0,41.3377,151.8877,-38.3022,-32.1394,51.7974,47.1201,-12.703,43.6543
441,220.5,41.5443,151.8933,-38.0203,-32.4724,51.7928,47.1115,-12.6946,43.4131
442,221.0,41.7514,151.8975,-37.7355,-32.803,51.7894,47.1051,-12.6843,43.1736
443,221.5,41.959,151.9003,-37.4478,-33.131,51.7871,47.1008,-12.6719,42.9358
444,222.0,42.1669,151.9017,-37.1572,-33.4565,51.7859,47.0985,-12.6576,42.6997
445,222.5,42.3752,151.9018,-36.8639,-33.7795,51.7858,47.0984,-12.6412,42.4653
446,223.0,42.5839,151.9006,-36.5677,-34.0999,51.7868,47.1003,-12.6229,42.2326
447,223.5,42.7929,151.898,-36.2687,-34.4177,51.789,47.1043,-12.6026,42.0016
448,224.0,43.0023,151.894,-35.967,-34.7329,51.7922,47.1104,-12.5803,41.7724
449,224.5,43.212,151.8888,-35.6625,-35.0455,51.7965,47.1185,-12.556,41.5449
450,225.0,43.422,151.8822,-35.3553,-35.3553,51.802,47.1286,-12.5297,41.3192
451,225.5,43.6323,151.8743,-35.0455,-35.6625,51.8085,47.1408,-12.5014,41.0953
452,226.0,43.8429,151.865,-34.7329,-35.967,51.8161,47.155,-12.4712,40.8732
453,226.5,44.0538,151.8545,-34.4177,-36.2687,51.8248,47.1713,-12.4389,40.6529
454,227.0,44.2649,151.8426,-34.0999,-36.5677,51.8345,47.1895,-12.4047,40.4344
455,227.5,44.4763,151.8294,-33.7795,-36.8639,51.8454,47.2098,-12.3685,40.2177
456,228.0,44.6879,151.815,-33.4565,-37.1572,51.8573,47.232,-12.3303,40.0029
457,228.5,44.8996,151.7992,-33.131,-37.4478,51.8703,47.2563,-12.2902,39.7899
458,229.0,45.1116,151.7822,-32.803,-37.7355,51.8844,47.2825,-12.248,39.5788
459,229.5,45.3238,151.7638,-32.4724,-38.0203,51.8995,47.3107,-12.2039,39.3696
460,230.0,45.5361,151.7442,-32.1394,-38.3022,51.9157,47.3409,-12.1578,39.1622
461,230.5,45.7486,151.7233,-31.8039,-38.5812,51.933,47.373,-12.1098,38.9568
462,231.0,45.9613,151.7011,-31.466,-38.8573,51.9513,47.4071,-12.0598,38.7533
463,231.5,46.174,151.6777,-31.1257,-39.1304,51.9707,47.4431,-12.0078,38.5517
464,232.0,46.3868,151.653,-30.7831,-39.4005,51.9912,47.4811,-11.9539,38.352
465,232.5,46.5998,151.627,-30.4381,-39.6677,52.0128,47.521,-11.898,38.1543
466,233.0,46.8128,151.5997,-30.0908,-39.9318,52.0354,47.5628,-11.8401,37.9586
467,233.5,47.0259,151.5713,-29.7411,-40.1928,52.059,47.6066,-11.7803,37.7649
468,234.0,47.239,151.5415,-29.3893,-40.4508,52.0837,47.6522,-11.7185,37.5731
469,234.5,47.4521,151.5105,-29.0351,-40.7058,52.1095,47.6998,-11.6548,37.3834
470,235.0,47.6653,151.4783,-28.6788,-40.9576,52.1364,47.7492,-11.5891,37.1957
471,235.5,47.8785,151.4448,-28.3203,-41.2063,52.1643,47.8006,-11.5214,37.01
472,236.0,48.0916,151.41,-27.9596,-41.4519,52.1933,47.8538,-11.4519,36.8264
473,236.5,48.3047,151.3741,-27.5968,-41.6943,52.2234,47.9089,-11.3804,36.6449
474,237.0,48.5178,151.3369,-27.232,-41.9335,52.2545,47.9659,-11.3069,36.4654
475,237.5,48.7308,151.2984,-26.865,-42.1696,52.2867,48.0247,-11.2315,36.288
476,238.0,48.9438,151.2588,-26.496,-42.4024,52.32,48.0854,-11.1542,36.1128
477,238.5,49.1566,151.2179,-26.1249,-42.632,52.3543,48.148,-11.0749,35.9396
478,239.0,49.3694,151.1758,-25.7519,-42.8584,52.3897,48.2124,-10.9937,35.7686
479,239.5,49.582,151.1324,-25.3769,-43.0815,52.4262,48.2787,-10.9106,35.5997
480,240.0,49.7945,151.0879,-25.0,-43.3013,52.4638,48.3468,-10.8256,35.433
481,240.5,50.0068,151.0421,-24.6212,-43.5178,52.5024,48.4167,-10.7387,35.2685
482,241.0,50.219,150.9951,-24.2405,-43.731,52.5422,48.4884,-10.6498,35.1061
483,241.5,50.4309,150.9469,-23.8579,-43.9409,52.583,48.562,-10.559,34.946
484,242.0,50.6427,150.8975,-23.4736,-44.1474,52.6249,48.6374,-10.4663,34.7881
485,242.5,50.8543,150.8468,-23.0874,-44.3505,52.668,48.7146,-10.3718,34.6324
486,243.0,51.0656,150.795,-22.6995,-44.5503,52.7121,48.7936,-10.2753,34.479
487,243.5,51.2767,150.7419,-22.3099,-44.7467,52.7573,48.8744,-10.1769,34.3279
488,244.0,51.4875,150.6877,-21.9186,-44.9397,52.8036,48.957,-10.0766,34.179
489,244.5,51.6981,150.6322,-21.5256,-45.1293,52.8511,49.0414,-9.9744,34.0324
490,245.0,51.9084,150.5755,-21.1309,-45.3154,52.8996,49.1276,-9.8704,33.8881
491,245.5,52.1183,150.5176,-20.7347,-45.4981,52.9493,49.2156,-9.7644,33.7462
492,246.0,52.3279,150.4585,-20.3368,-45.6773,53.0001,49.3053,-9.6566,33.6066
493,246.5,52.5372,150.3982,-19.9375,-45.853,53.052,49.3969,-9.5469,33.4694
494,247.0,52.7462,150.3367,-19.5366,-46.0252,53.1051,49.4902,-9.4353,33.3345
495,247.5,52.9547,150.274,-19.1342,-46.194,53.1593,49.5852,-9.3219,33.202
496,248.0,53.1629,150.2101,-18.7303,-46.3592,53.2147,49.682,-9.2066,33.0719
497,248.5,53.3707,150.145,-18.3251,-46.5209,53.2712,49.7806,-9.0895,32.9442
498,249.0,53.5781,150.0787,-17.9184,-46.679,53.3288,49.881,-8.9704,32.819
499,249.5,53.785,150.0112,-17.5104,-46.8336,53.3877,49.9831,-8.8496,32.6962
500,250.0,53.9915,149.9425,-17.101,-46.9846,53.4477,50.0869,-8.7269,32.5759
501,250.5,54.1975,149.8726,-16.6903,-47.1321,53.5089,50.1925,-8.6023,32.458
502,251.0,54.403,149.8014,-16.2784,-47.2759,53.5712,50.2998,-8.4759,32.3427
503,251.5,54.608,149.7291,-15.8652,-47.4162,53.6348,50.4089,-8.3477,32.2298
504,252.0,54.8125,149.6556,-15.4508,-47.5528,53.6996,50.5197,-8.2177,32.1195
505,252.5,55.0165,149.5808,-15.0353,-47.6858,53.7656,50.6322,-8.0858,32.0117
506,253.0,55.2199,149.5049,-14.6186,-47.8152,53.8328,50.7465,-7.9521,31.9065
507,253.5,55.4228,149.4277,-14.2008,-47.941,53.9012,50.8625,-7.8166,31.8039
508,254.0,55.6251,149.3494,-13.7819,-48.0631,53.9708,50.9802,-7.6793,31.7038
509,254.5,55.8268,149.2698,-13.3619,-48.1815,54.0417,51.0996,-7.5401,31.6064
510,255.0,56.0278,149.189,-12.941,-48.2963,54.1139,51.2208,-7.3992,31.5115
511,255.5,56.2283,149.107,-12.519,-48.4074,54.1873,51.3437,-7.2565,31.4193
512,256.0,56.4281,149.0237,-12.0961,-48.5148,54.2619,51.4683,-7.112,31.3298
513,256.5,56.6272,148.9393,-11.6723,-48.6185,54.3379,51.5946,-6.9657,31.2429
514,257.0,56.8256,148.8536,-11.2476,-48.7185,54.4151,51.7226,-6.8176,31.1587
515,257.5,57.0234,148.7668,-10.822,-48.8148,54.4936,51.8523,-6.6677,31.0773
516,258.0,57.2204,148.6786,-10.3956,-48.9074,54.5735,51.9838,-6.5161,30.9985
517,258.5,57.4167,148.5893,-9.9684,-48.9962,54.6546,52.1169,-6.3626,30.9225
518,259.0,57.6122,148.4987,-9.5404,-49.0814,54.7371,52.2517,-6.2075,30.8492
519,259.5,57.807,148.407,-9.1118,-49.1627,54.821,52.3883,-6.0505,30.7787
520,260.0,58.001,148.3139,-8.6824,-49.2404,54.9061,52.5265,-5.8918,30.7109
521,260.5,58.1942,148.2197,-8.2524,-49.3143,54.9927,52.6664,-5.7314,30.646
522,261.0,58.3866,148.1241,-7.8217,-49.3844,55.0806,52.8081,-5.5692,30.5839
523,261.5,58.5781,148.0274,-7.3905,-49.4508,55.1699,52.9514,-5.4053,30.5246
524,262.0,58.7688,147.9294,-6.9587,-49.5134,55.2606,53.0964,-5.2396,30.4681
525,262.5,58.9586,147.8301,-6.5263,-49.5722,55.3527,53.2431,-5.0723,30.4145
526,263.0,59.1475,147.7296,-6.0935,-49.6273,55.4462,53.3915,-4.9031,30.3638
527,263.5,59.3355,147.6279,-5.6602,-49.6786,55.5411,53.5416,-4.7323,30.316
528,264.0,59.5225,147.5249,-5.2264,-49.7261,55.6375,53.6933,-4.5597,30.2711
529,264.5,59.7086,147.4206,-4.7923,-49.7698,55.7354,53.8468,-4.3855,30.2292
530,265.0,59.8938,147.3151,-4.3578,-49.8097,55.8347,54.0019,-4.2095,30.1901
531,265.5,60.078,147.2082,-3.923,-49.8459,55.9356,54.1587,-4.0318,30.1541
532,266.0,60.2611,147.1001,-3.4878,-49.8782,56.0379,54.3172,-3.8525,30.121
533,266.5,60.4433,146.9908,-3.0524,-49.9067,56.1417,54.4774,-3.6714,30.0909
534,267.0,60.6244,146.8801,-2.6168,-49.9315,56.2471,54.6393,-3.4886,30.0638
535,267.5,60.8045,146.7682,-2.181,-49.9524,56.354,54.8028,-3.3042,30.0397
536,268.0,60.9835,146.6549,-1.745,-49.9695,56.4625,54.968,-3.1181,30.0187
537,268.5,61.1613,146.5404,-1.3088,-49.9829,56.5725,55.1349,-2.9303,30.0007
538,269.0,61.3381,146.4245,-0.8726,-49.9924,56.6842,55.3035,-2.7408,29.9858
539,269.5,61.5137,146.3074,-0.4363,-49.9981,56.7974,55.4737,-2.5497,29.974
540,270.0,61.6882,146.1889,-0.0,-50.0,56.9123,55.6456,-2.3569,29.9653
541,270.5,61.8615,146.0692,0.4363,-49.9981,57.0288,55.8192,-2.1624,29.9597
542,271.0,62.0337,145.9481,0.8726,-49.9924,57.147,55.9944,-1.9663,29.9572
543,271.5,62.2046,145.8256,1.3088,-49.9829,57.2668,56.1713,-1.7685,29.9579
544,272.0,62.3742,145.7019,1.745,-49.9695,57.3883,56.3499,-1.5691,29.9618
