# ========================================================
# 4-BAR PLANAR KINEMATIC ENGINE DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank Length L1): 50.0 mm
# Link 2 (Coupler Length L2): 120.0 mm
# Link 3 (Rocker Length L3): 100.0 mm
# Coupler Point Offset (LP): 80.0 mm
# Coupler Point Offset Angle (alpha): 30.0 deg (ref to segment AB)
# Resolution Steps: 720 (Step size: 0.50 deg)
# ========================================================
step,crank_angle_deg,coupler_angle_deg,rocker_angle_deg,pivot_a_x,pivot_a_y,pivot_b_x,pivot_b_y,coupler_p_x,coupler_p_y
62,31.0,38.1993,91.6262,42.8584,25.7519,137.1621,99.9597,72.5687,100.0304
63,31.5,37.9741,91.5892,42.632,26.1249,137.2267,99.9615,72.6341,100.2861
64,32.0,37.7507,91.5562,42.4024,26.496,137.2843,99.9631,72.6935,100.5395
65,32.5,37.529,91.5271,42.1696,26.865,137.335,99.9645,72.7469,100.7908
66,33.0,37.3091,91.502,41.9335,27.232,137.3789,99.9656,72.7943,101.0399
67,33.5,37.0909,91.4808,41.6943,27.5968,137.4159,99.9666,72.8359,101.2867
68,34.0,36.8745,91.4635,41.4519,27.9596,137.4461,99.9674,72.8716,101.5314
69,34.5,36.6599,91.45,41.2063,28.3203,137.4696,99.968,72.9014,101.7739
70,35.0,36.4471,91.4404,40.9576,28.6788,137.4863,99.9684,72.9253,102.0141
71,35.5,36.236,91.4346,40.7058,29.0351,137.4965,99.9687,72.9434,102.2522
72,36.0,36.0267,91.4325,40.4508,29.3893,137.5,99.9687,72.9557,102.4881
73,36.5,35.8192,91.4343,40.1928,29.7411,137.497,99.9687,72.9622,102.7217
74,37.0,35.6135,91.4397,39.9318,30.0908,137.4875,99.9684,72.963,102.9532
75,37.5,35.4095,91.4489,39.6677,30.4381,137.4715,99.968,72.9581,103.1825
76,38.0,35.2073,91.4617,39.4005,30.7831,137.4491,99.9675,72.9474,103.4096
77,38.5,35.0069,91.4782,39.1304,31.1257,137.4204,99.9667,72.9312,103.6344
78,39.0,34.8082,91.4983,38.8573,31.466,137.3854,99.9658,72.9092,103.8571
79,39.5,34.6113,91.5219,38.5812,31.8039,137.3441,99.9647,72.8817,104.0775
80,40.0,34.4162,91.5491,38.3022,32.1394,137.2966,99.9635,72.8487,104.2958
81,40.5,34.2229,91.5798,38.0203,32.4724,137.2431,99.962,72.8101,104.5118
82,41.0,34.0312,91.614,37.7355,32.803,137.1834,99.9603,72.766,104.7256
83,41.5,33.8414,91.6517,37.4478,33.131,137.1177,99.9585,72.7164,104.9372
84,42.0,33.6532,91.6927,37.1572,33.4565,137.046,99.9564,72.6615,105.1465
85,42.5,33.4668,91.7372,36.8639,33.7795,136.9685,99.954,72.6011,105.3536
