# ========================================================
# 4-BAR ANALYTICAL KINEMATIC ENGINE DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank L1): 50.0 mm @ Omega1 = 10.0 rad/s
# Link 2 (Coupler L2): 120.0 mm
# Link 3 (Rocker L3): 100.0 mm
# Coupler Offset Point P (LP): 80.0 mm @ 30.0 deg ref AB
# Total Trajectory Steps: 720
# ========================================================
step,crank_angle_deg,coupler_p_x,coupler_p_y,v_mag,vx_P,vy_P,a_mag,a_tangential,a_normal
246,123.0,23.8003,103.5429,499.6744,-418.4924,-273.0177,6648.5354,-495.5089,6630.0447
247,123.5,23.4356,103.3034,500.1154,-417.2488,-275.7151,6656.839,-501.6741,6637.9085
248,124.0,23.072,103.0617,500.5368,-415.9769,-278.3887,6665.2233,-507.9082,6645.8432
249,124.5,22.7096,102.8176,500.9386,-414.6772,-281.038,6673.6861,-514.2081,6653.8467
250,125.0,22.3483,102.5712,501.321,-413.3499,-283.6628,6682.2248,-520.5705,6661.9168
251,125.5,21.9882,102.3225,501.6837,-411.9954,-286.2628,6690.8372,-526.9924,6670.0511
252,126.0,21.6292,102.0716,502.0269,-410.614,-288.8376,6699.5206,-533.4705,6678.2472
253,126.5,21.2715,101.8184,502.3505,-409.206,-291.3871,6708.2724,-540.0018,6686.5025
254,127.0,20.9151,101.563,502.6545,-407.7719,-293.9109,6717.0898,-546.5834,6694.8145
255,127.5,20.5598,101.3054,502.9389,-406.312,-296.4087,6725.9699,-553.2123,6703.1804
256,128.0,20.2059,101.0457,503.2036,-404.8265,-298.8802,6734.9097,-559.8856,6711.5972
257,128.5,19.8533,100.7838,503.4487,-403.3159,-301.3251,6743.9062,-566.6005,6720.0621
258,129.0,19.502,100.5198,503.6741,-401.7806,-303.7433,6752.956,-573.3541,6728.5719
259,129.5,19.1521,100.2537,503.8798,-400.2208,-306.1343,6762.0559,-580.1438,6737.1235
260,130.0,18.8035,99.9855,504.0659,-398.6369,-308.498,6771.2024,-586.9668,6745.7136
261,130.5,18.4563,99.7152,504.2321,-397.0293,-310.834,6780.3919,-593.8206,6754.3387
262,131.0,18.1106,99.443,504.3787,-395.3984,-313.1422,6789.6207,-600.7024,6762.9954
263,131.5,17.7662,99.1687,504.5055,-393.7444,-315.4222,6798.8851,-607.6098,6771.6799
264,132.0,17.4233,98.8925,504.6125,-392.0678,-317.6738,6808.1811,-614.5404,6780.3886
265,132.5,17.0819,98.6143,504.6997,-390.3689,-319.8967,6817.5046,-621.4916,6789.1175
266,133.0,16.742,98.3342,504.7671,-388.6481,-322.0908,6826.8515,-628.4611,6797.8627
267,133.5,16.4036,98.0521,504.8147,-386.9057,-324.2558,6836.2175,-635.4466,6806.6201
268,134.0,16.0668,97.7682,504.8424,-385.1421,-326.3914,6845.5981,-642.4458,6815.3853
269,134.5,15.7314,97.4825,504.8502,-383.3577,-328.4974,6854.9889,-649.4565,6824.1541
270,135.0,15.3977,97.1949,504.8381,-381.5529,-330.5737,6864.3852,-656.4765,6832.922
271,135.5,15.0655,96.9055,504.8061,-379.7279,-332.6199,6873.7822,-663.5037,6841.6843
272,136.0,14.7349,96.6144,504.7542,-377.8832,-334.6358,6883.175,-670.5361,6850.4364
273,136.5,14.406,96.3215,504.6824,-376.0191,-336.6214,6892.5585,-677.5717,6859.1734
274,137.0,14.0787,96.0269,504.5905,-374.136,-338.5763,6901.9276,-684.6085,6867.8902
275,137.5,13.753,95.7306,504.4787,-372.2342,-340.5003,6911.2771,-691.6447,6876.5819
276,138.0,13.429,95.4326,504.3469,-370.3142,-342.3934,6920.6015,-698.6784,6885.2432
277,138.5,13.1067,95.133,504.1951,-368.3763,-344.2552,6929.8954,-705.7079,6893.8687
278,139.0,12.7861,94.8318,504.0233,-366.4208,-346.0856,6939.153,-712.7314,6902.453
279,139.5,12.4672,94.529,503.8315,-364.4482,-347.8845,6948.3686,-719.7473,6910.9905
280,140.0,12.15,94.2246,503.6196,-362.4588,-349.6517,6957.5363,-726.754,6919.4754
281,140.5,11.8346,93.9187,503.3876,-360.4529,-351.3869,6966.6501,-733.7499,6927.9019
282,141.0,11.5209,93.6113,503.1356,-358.4309,-353.0902,6975.7039,-740.7336,6936.2641
283,141.5,11.209,93.3025,502.8635,-356.3933,-354.7612,6984.6915,-747.7036,6944.5558
284,142.0,10.8989,92.9922,502.5713,-354.3403,-356.3999,6993.6065,-754.6586,6952.7708
285,142.5,10.5905,92.6804,502.2591,-352.2723,-358.0061,7002.4423,-761.5973,6960.9028
286,143.0,10.284,92.3673,501.9267,-350.1897,-359.5798,7011.1925,-768.5184,6968.9454
287,143.5,9.9793,92.0529,501.5743,-348.0928,-361.1207,7019.8504,-775.4208,6976.892
288,144.0,9.6765,91.7371,501.2018,-345.9821,-362.6288,7028.409,-782.3033,6984.7359
289,144.5,9.3755,91.42,500.8092,-343.8578,-364.104,7036.8616,-789.1648,6992.4703
290,145.0,9.0764,91.1016,500.3966,-341.7203,-365.5461,7045.2011,-796.0043,7000.0882
291,145.5,8.7791,90.782,499.9638,-339.57,-366.9551,7053.4203,-802.821,7007.5828
292,146.0,8.4837,90.4611,499.511,-337.4072,-368.3309,7061.5122,-809.6139,7014.9469
293,146.5,8.1902,90.1391,499.0382,-335.2323,-369.6733,7069.4692,-816.3821,7022.1731
294,147.0,7.8986,89.816,498.5453,-333.0457,-370.9824,7077.2842,-823.1249,7029.2543
295,147.5,7.6089,89.4917,498.0324,-330.8476,-372.2581,7084.9495,-829.8416,7036.183
296,148.0,7.3212,89.1663,497.4994,-328.6385,-373.5002,7092.4576,-836.5315,7042.9517
297,148.5,7.0354,88.8398,496.9465,-326.4187,-374.7088,7099.8008,-843.1941,7049.5528
298,149.0,6.7515,88.5123,496.3737,-324.1884,-375.8839,7106.9714,-849.8287,7055.9785
299,149.5,6.4695,88.1838,495.7809,-321.9482,-377.0252,7113.9616,-856.4349,7062.2212
300,150.0,6.1896,87.8542,495.1682,-319.6982,-378.133,7120.7635,-863.0123,7068.2729
301,150.5,5.9116,87.5238,494.5356,-317.4389,-379.207,7127.3692,-869.5605,7074.1258
302,151.0,5.6355,87.1924,493.8831,-315.1705,-380.2474,7133.7707,-876.0791,7079.7718
303,151.5,5.3615,86.8601,493.2109,-312.8935,-381.2541,7139.9599,-882.5679,7085.203
304,152.0,5.0894,86.527,492.5189,-310.608,-382.2271,7145.9288,-889.0266,7090.4111
305,152.5,4.8194,86.193,491.8072,-308.3145,-383.1664,7151.6692,-895.4552,7095.3881
306,153.0,4.5513,85.8583,491.0759,-306.0133,-384.0721,7157.173,-901.8534,7100.1257
307,153.5,4.2853,85.5227,490.3249,-303.7046,-384.9441,7162.4319,-908.2212,7104.6157
308,154.0,4.0213,85.1864,489.5543,-301.3889,-385.7825,7167.4377,-914.5586,7108.8498
309,154.5,3.7593,84.8494,488.7642,-299.0663,-386.5874,7172.1823,-920.8655,7112.8198
310,155.0,3.4993,84.5117,487.9547,-296.7373,-387.3588,7176.6573,-927.1421,7116.5172
311,155.5,3.2414,84.1734,487.1258,-294.402,-388.0967,7180.8545,-933.3884,7119.9338
312,156.0,2.9855,83.8344,486.2776,-292.0609,-388.8012,7184.7658,-939.6046,7123.0613
313,156.5,2.7316,83.4948,485.4102,-289.7141,-389.4725,7188.3828,-945.7909,7125.8913
314,157.0,2.4798,83.1546,484.5236,-287.362,-390.1105,7191.6973,-951.9474,7128.4154
315,157.5,2.2301,82.8139,483.6179,-285.0049,-390.7153,7194.7012,-958.0744,7130.6255
316,158.0,1.9824,82.4727,482.6932,-282.6431,-391.2872,7197.3864,-964.1723,7132.5131
317,158.5,1.7368,82.131,481.7496,-280.2767,-391.8261,7199.7448,-970.2412,7134.0702
318,159.0,1.4932,81.7888,480.7872,-277.9062,-392.3322,7201.7683,-976.2816,7135.2884
319,159.5,1.2517,81.4463,479.8061,-275.5316,-392.8055,7203.4489,-982.2939,7136.1597
320,160.0,1.0123,81.1033,478.8063,-273.1534,-393.2463,7204.7788,-988.2783,7136.676
321,160.5,0.775,80.7599,477.788,-270.7718,-393.6547,7205.7502,-994.2353,7136.8293
322,161.0,0.5398,80.4162,476.7513,-268.387,-394.0308,7206.3552,-1000.1653,7136.6116
323,161.5,0.3066,80.0722,475.6963,-265.9992,-394.3747,7206.5864,-1006.0688,7136.0152
324,162.0,0.0755,79.7279,474.6231,-263.6087,-394.6867,7206.4361,-1011.9462,7135.0323
325,162.5,-0.1535,79.3834,473.5319,-261.2158,-394.9668,7205.8969,-1017.798,7133.6553
326,163.0,-0.3804,79.0386,472.4227,-258.8206,-395.2153,7204.9616,-1023.6246,7131.8766
327,163.5,-0.6052,78.6936,471.2957,-256.4233,-395.4323,7203.623,-1029.4266,7129.689
328,164.0,-0.828,78.3484,470.151,-254.0243,-395.618,7201.8741,-1035.2044,7127.0851
329,164.5,-1.0486,78.0031,468.9887,-251.6237,-395.7726,7199.7081,-1040.9585,7124.058
330,165.0,-1.2671,77.6577,467.8091,-249.2216,-395.8964,7197.1183,-1046.6894,7120.6006
331,165.5,-1.4836,77.3122,466.6122,-246.8184,-395.9894,7194.0981,-1052.3976,7116.7062
332,166.0,-1.6979,76.9666,465.3981,-244.4141,-396.052,7190.6413,-1058.0835,7112.3682
333,166.5,-1.9101,76.6209,464.1671,-242.0091,-396.0843,7186.7416,-1063.7476,7107.5802
334,167.0,-2.1203,76.2753,462.9193,-239.6033,-396.0865,7182.3932,-1069.3904,7102.336
335,167.5,-2.3283,75.9296,461.6548,-237.1972,-396.059,7177.5904,-1075.0122,7096.6296
336,168.0,-2.5343,75.584,460.3739,-234.7907,-396.0018,7172.3275,-1080.6136,7090.4553
337,168.5,-2.7381,75.2385,459.0766,-232.3841,-395.9154,7166.5994,-1086.1949,7083.8074
338,169.0,-2.9399,74.893,457.7632,-229.9774,-395.7998,7160.4009,-1091.7565,7076.6806
339,169.5,-3.1395,74.5477,456.4337,-227.571,-395.6554,7153.7272,-1097.2987,7069.0699
340,170.0,-3.337,74.2025,455.0885,-225.1649,-395.4824,7146.5739,-1102.822,7060.9703
341,170.5,-3.5325,73.8575,453.7276,-222.7592,-395.2811,7138.9365,-1108.3265,7052.3774
342,171.0,-3.7258,73.5126,452.3514,-220.354,-395.0517,7130.811,-1113.8127,7043.2867
343,171.5,-3.9171,73.168,450.9598,-217.9496,-394.7945,7122.1938,-1119.2807,7033.6942
344,172.0,-4.1062,72.8236,449.5532,-215.546,-394.5098,7113.0811,-1124.7309,7023.5962
345,172.5,-4.2933,72.4794,448.1317,-213.1434,-394.1978,7103.47,-1130.1633,7012.9892
346,173.0,-4.4782,72.1356,446.6955,-210.7417,-393.8589,7093.3574,-1135.5781,7001.8699
347,173.5,-4.6611,71.792,445.2449,-208.3412,-393.4932,7082.7408,-1140.9755,6990.2355
348,174.0,-4.8419,71.4488,443.7799,-205.942,-393.1012,7071.6179,-1146.3556,6978.0834
349,174.5,-5.0205,71.1059,442.3009,-203.5441,-392.683,7059.9865,-1151.7184,6965.4113
350,175.0,-5.1971,70.7635,440.8081,-201.1475,-392.239,7047.8451,-1157.0639,6952.2172
351,175.5,-5.3716,70.4214,439.3015,-198.7525,-391.7694,7035.1923,-1162.3921,6938.4995
352,176.0,-5.544,70.0797,437.7815,-196.359,-391.2746,7022.0271,-1167.703,6924.2569
353,176.5,-5.7143,69.7385,436.2483,-193.9671,-390.7548,7008.3486,-1172.9964,6909.4884
354,177.0,-5.8825,69.3977,434.7021,-191.5769,-390.2104,6994.1566,-1178.2723,6894.1932
355,177.5,-6.0487,69.0574,433.143,-189.1885,-389.6416,6979.4509,-1183.5305,6878.3712
356,178.0,-6.2127,68.7177,431.5713,-186.8018,-389.0487,6964.2318,-1188.7707,6862.0222
357,178.5,-6.3747,68.3784,429.9873,-184.417,-388.4321,6948.4999,-1193.9927,6845.1466
358,179.0,-6.5346,68.0397,428.3912,-182.034,-387.792,6932.2561,-1199.1963,6827.7451
359,179.5,-6.6924,67.7016,426.7831,-179.653,-387.1287,6915.5018,-1204.3811,6809.8187
360,180.0,-6.8482,67.3641,425.1633,-177.2739,-386.4425,6898.2385,-1209.5469,6791.3688
361,180.5,-7.0018,67.0271,423.532,-174.8967,-385.7338,6880.4681,-1214.6931,6772.3971
362,181.0,-7.1534,66.6908,421.8895,-172.5216,-385.0027,6862.193,-1219.8194,6752.9056
363,181.5,-7.3029,66.3552,420.236,-170.1484,-384.2497,6843.4157,-1224.9254,6732.8966
364,182.0,-7.4504,66.0202,418.5717,-167.7772,-383.475,6824.1392,-1230.0106,6712.3729
365,182.5,-7.5958,65.6859,416.8968,-165.4081,-382.6789,6804.3668,-1235.0745,6691.3375
366,183.0,-7.7391,65.3523,415.2116,-163.041,-381.8617,6784.102,-1240.1166,6669.7939
367,183.5,-7.8803,65.0194,413.5163,-160.6759,-381.0236,6763.3487,-1245.1363,6647.7456
368,184.0,-8.0195,64.6873,411.8111,-158.3128,-380.165,6742.1113,-1250.1331,6625.1967
369,184.5,-8.1566,64.3559,410.0963,-155.9518,-379.2862,6720.3942,-1255.1064,6602.1516
370,185.0,-8.2917,64.0253,408.3721,-153.5928,-378.3874,6698.2023,-1260.0556,6578.6149
371,185.5,-8.4247,63.6955,406.6387,-151.2357,-377.4689,6675.5408,-1264.9801,6554.5916
372,186.0,-8.5556,63.3665,404.8963,-148.8806,-376.531,6652.4153,-1269.8793,6530.0869
373,186.5,-8.6845,63.0384,403.1452,-146.5275,-375.5739,6628.8313,-1274.7525,6505.1065
374,187.0,-8.8114,62.711,401.3857,-144.1763,-374.598,6604.7951,-1279.5991,6479.6562
375,187.5,-8.9362,62.3846,399.6178,-141.827,-373.6034,6580.3129,-1284.4184,6453.7421
376,188.0,-9.0589,62.059,397.842,-139.4796,-372.5905,6555.3914,-1289.2099,6427.3707
377,188.5,-9.1796,61.7343,396.0583,-137.134,-371.5595,6530.0375,-1293.9728,6400.5487
378,189.0,-9.2983,61.4105,394.2671,-134.7903,-370.5106,6504.2583,-1298.7066,6373.2831
379,189.5,-9.4149,61.0876,392.4686,-132.4483,-369.4442,6478.0613,-1303.4106,6345.581
380,190.0,-9.5294,60.7657,390.6629,-130.1081,-368.3604,6451.4541,-1308.0842,6317.4501
381,190.5,-9.6419,60.4447,388.8503,-127.7696,-367.2594,6424.4446,-1312.7268,6288.8979
382,191.0,-9.7524,60.1247,387.0311,-125.4328,-366.1416,6397.041,-1317.3379,6259.9324
383,191.5,-9.8609,59.8057,385.2054,-123.0976,-365.0071,6369.2516,-1321.9167,6230.5619
384,192.0,-9.9673,59.4877,383.3735,-120.764,-363.8562,6341.085,-1326.4629,6200.7947
385,192.5,-10.0716,59.1706,381.5356,-118.432,-362.689,6312.5501,-1330.9759,6170.6395
386,193.0,-10.174,58.8547,379.692,-116.1014,-361.5058,6283.6557,-1335.4552,6140.1049
387,193.5,-10.2743,58.5397,377.8428,-113.7724,-360.3068,6254.4111,-1339.9003,6109.2001
388,194.0,-10.3725,58.2258,375.9882,-111.4447,-359.0922,6224.8257,-1344.3108,6077.9342
389,194.5,-10.4688,57.913,374.1286,-109.1184,-357.8622,6194.909,-1348.6863,6046.3165
390,195.0,-10.563,57.6012,372.264,-106.7935,-356.617,6164.6707,-1353.0265,6014.3565
391,195.5,-10.6552,57.2906,370.3948,-104.4699,-355.3567,6134.1207,-1357.3311,5982.0639
392,196.0,-10.7453,56.981,368.5211,-102.1475,-354.0815,6103.269,-1361.5997,5949.4486
393,196.5,-10.8335,56.6726,366.6432,-99.8263,-352.7916,6072.1257,-1365.8323,5916.5203
394,197.0,-10.9196,56.3653,364.7612,-97.5062,-351.4872,6040.7012,-1370.0284,5883.2893
395,197.5,-11.0036,56.0591,362.8754,-95.1873,-350.1684,6009.006,-1374.1882,5849.7658
396,198.0,-11.0857,55.7541,360.9859,-92.8694,-348.8354,5977.0504,-1378.3114,5815.9599
397,198.5,-11.1657,55.4503,359.0931,-90.5526,-347.4883,5944.8452,-1382.3981,5781.8821
398,199.0,-11.2437,55.1476,357.1971,-88.2368,-346.1272,5912.4012,-1386.4483,5747.5428
399,199.5,-11.3197,54.8462,355.2981,-85.9219,-344.7523,5879.7291,-1390.4621,5712.9528
400,200.0,-11.3937,54.5459,353.3963,-83.6079,-343.3637,5846.84,-1394.4397,5678.1226
401,200.5,-11.4657,54.2469,351.4919,-81.2948,-341.9616,5813.7448,-1398.3811,5643.0629
402,201.0,-11.5356,53.9491,349.5852,-78.9825,-340.546,5780.4547,-1402.2868,5607.7846
403,201.5,-11.6035,53.6526,347.6763,-76.6711,-339.117,5746.9808,-1406.1571,5572.2985
404,202.0,-11.6694,53.3572,345.7655,-74.3604,-337.6748,5713.3343,-1409.9923,5536.6154
405,202.5,-11.7333,53.0632,343.8529,-72.0504,-336.2195,5679.5265,-1413.793,5500.7464
406,203.0,-11.7952,52.7704,341.9387,-69.7412,-334.7511,5645.5688,-1417.5596,5464.7024
407,203.5,-11.855,52.479,340.0233,-67.4326,-333.2697,5611.4725,-1421.2927,5428.4944
408,204.0,-11.9128,52.1888,338.1066,-65.1247,-331.7753,5577.2491,-1424.993,5392.1334
409,204.5,-11.9687,51.8999,336.1891,-62.8174,-330.2682,5542.9101,-1428.6613,5355.6306
410,205.0,-12.0225,51.6124,334.2708,-60.5107,-328.7483,5508.4668,-1432.2984,5318.9969
411,205.5,-12.0743,51.3261,332.352,-58.2045,-327.2157,5473.9309,-1435.905,5282.2435
412,206.0,-12.1241,51.0413,330.4329,-55.899,-325.6704,5439.314,-1439.4822,5245.3815
413,206.5,-12.1718,50.7577,328.5136,-53.594,-324.1125,5404.6275,-1443.0309,5208.422
414,207.0,-12.2176,50.4756,326.5945,-51.2895,-322.542,5369.883,-1446.5523,5171.3761
415,207.5,-12.2614,50.1948,324.6757,-48.9855,-320.959,5335.0923,-1450.0475,5134.2548
416,208.0,-12.3031,49.9154,322.7573,-46.6821,-319.3635,5300.2669,-1453.5176,5097.0694
417,208.5,-12.3428,49.6374,320.8397,-44.3791,-317.7556,5265.4185,-1456.964,5059.8308
418,209.0,-12.3806,49.3608,318.923,-42.0766,-316.1352,5230.5587,-1460.3881,5022.5503
419,209.5,-12.4163,49.0856,317.0075,-39.7747,-314.5023,5195.6993,-1463.7912,4985.2388
420,210.0,-12.45,48.8119,315.0933,-37.4732,-312.8571,5160.8518,-1467.1748,4947.9076
421,210.5,-12.4817,48.5396,313.1807,-35.1722,-311.1994,5126.028,-1470.5404,4910.5676
422,211.0,-12.5114,48.2688,311.2698,-32.8716,-309.5293,5091.2396,-1473.8898,4873.2299
423,211.5,-12.5391,47.9994,309.361,-30.5716,-307.8468,5056.4984,-1477.2246,4835.9056
424,212.0,-12.5647,47.7315,307.4545,-28.2721,-306.1518,5021.8159,-1480.5464,4798.6058
425,212.5,-12.5884,47.4651,305.5504,-25.9731,-304.4444,4987.2041,-1483.8572,4761.3415
426,213.0,-12.6101,47.2001,303.6489,-23.6746,-302.7246,4952.6747,-1487.1588,4724.1238
427,213.5,-12.6297,46.9367,301.7504,-21.3767,-300.9923,4918.2394,-1490.4532,4686.9637
428,214.0,-12.6474,46.6748,299.8551,-19.0793,-299.2475,4883.9101,-1493.7422,4649.8723
429,214.5,-12.663,46.4144,297.9632,-16.7825,-297.4902,4849.6986,-1497.0281,4612.8607
430,215.0,-12.6767,46.1556,296.0749,-14.4862,-295.7203,4815.6167,-1500.3128,4575.9399
431,215.5,-12.6883,45.8983,294.1905,-12.1907,-293.9378,4781.6764,-1503.5985,4539.1211
432,216.0,-12.6979,45.6426,292.3103,-9.8957,-292.1427,4747.8894,-1506.8875,4502.4153
433,216.5,-12.7056,45.3884,290.4344,-7.6014,-290.3349,4714.2678,-1510.1821,4465.8338
434,217.0,-12.7112,45.1358,288.5632,-5.3079,-288.5144,4680.8236,-1513.4844,4429.3876
435,217.5,-12.7148,44.8849,286.697,-3.0151,-286.6811,4647.5687,-1516.797,4393.0879
436,218.0,-12.7165,44.6355,284.836,-0.723,-284.835,4614.5152,-1520.1222,4356.946
437,218.5,-12.7161,44.3877,282.9804,1.5682,-282.9761,4581.6752,-1523.4624,4320.9732
438,219.0,-12.7137,44.1416,281.1306,3.8586,-281.1042,4549.0609,-1526.8202,4285.1808
439,219.5,-12.7094,43.8971,279.2869,6.1481,-279.2193,4516.6844,-1530.1982,4249.5802
440,220.0,-12.703,43.6543,277.4496,8.4367,-277.3213,4484.5581,-1533.5987,4214.1828
441,220.5,-12.6946,43.4131,275.619,10.7243,-275.4102,4452.6943,-1537.0246,4179.0001
442,221.0,-12.6843,43.1736,273.7953,13.0108,-273.486,4421.1053,-1540.4784,4144.0437
443,221.5,-12.6719,42.9358,271.9789,15.2963,-271.5485,4389.8037,-1543.9628,4109.3254
444,222.0,-12.6576,42.6997,270.1702,17.5807,-269.5976,4358.8019,-1547.4805,4074.8568
445,222.5,-12.6412,42.4653,268.3695,19.8639,-267.6333,4328.1125,-1551.0342,4040.6498
446,223.0,-12.6229,42.2326,266.5771,22.1458,-265.6556,4297.7483,-1554.6266,4006.7164
447,223.5,-12.6026,42.0016,264.7934,24.4265,-263.6643,4267.7219,-1558.2606,3973.0686
448,224.0,-12.5803,41.7724,263.0187,26.7059,-261.6594,4238.0463,-1561.9388,3939.7187
449,224.5,-12.556,41.5449,261.2535,28.9838,-259.6408,4208.7343,-1565.6641,3906.679
450,225.0,-12.5297,41.3192,259.4981,31.2603,-257.6083,4179.799,-1569.4391,3873.9619
451,225.5,-12.5014,41.0953,257.7529,33.5352,-255.562,4151.2534,-1573.2668,3841.58
452,226.0,-12.4712,40.8732,256.0183,35.8086,-253.5017,4123.1108,-1577.1499,3809.546
453,226.5,-12.4389,40.6529,254.2948,38.0803,-251.4274,4095.3844,-1581.0912,3777.8729
454,227.0,-12.4047,40.4344,252.5828,40.3503,-249.3389,4068.0875,-1585.0933,3746.5738
455,227.5,-12.3685,40.2177,250.8827,42.6186,-247.2363,4041.2336,-1589.1591,3715.6617
456,228.0,-12.3303,40.0029,249.1949,44.8849,-245.1193,4014.8362,-1593.2913,3685.1502
457,228.5,-12.2902,39.7899,247.52,47.1494,-242.9879,3988.9088,-1597.4925,3655.0528
458,229.0,-12.248,39.5788,245.8585,49.4119,-240.842,3963.4653,-1601.7655,3625.3833
459,229.5,-12.2039,39.3696,244.2108,51.6723,-238.6815,3938.5192,-1606.1128,3596.1556
460,230.0,-12.1578,39.1622,242.5774,53.9306,-236.5064,3914.0844,-1610.5369,3567.3839
461,230.5,-12.1098,38.9568,240.9589,56.1867,-234.3165,3890.1748,-1615.0405,3539.0824
462,231.0,-12.0598,38.7533,239.3558,58.4406,-232.1118,3866.8043,-1619.6259,3511.2658
463,231.5,-12.0078,38.5517,237.7686,60.6921,-229.8921,3843.9868,-1624.2956,3483.9487
464,232.0,-11.9539,38.352,236.198,62.9411,-227.6574,3821.7363,-1629.0518,3457.1461
465,232.5,-11.898,38.1543,234.6445,65.1877,-225.4076,3800.0669,-1633.8967,3430.8731
466,233.0,-11.8401,37.9586,233.1087,67.4317,-223.1426,3778.9925,-1638.8326,3405.145
467,233.5,-11.7803,37.7649,231.5912,69.6731,-220.8622,3758.5272,-1643.8614,3379.9773
468,234.0,-11.7185,37.5731,230.0926,71.9118,-218.5665,3738.685,-1648.9852,3355.3857
469,234.5,-11.6548,37.3834,228.6137,74.1476,-216.2553,3719.4798,-1654.2056,3331.3862
470,235.0,-11.5891,37.1957,227.155,76.3806,-213.9285,3700.9257,-1659.5245,3307.9947
471,235.5,-11.5214,37.01,225.7173,78.6107,-211.5861,3683.0363,-1664.9434,3285.2275
472,236.0,-11.4519,36.8264,224.3012,80.8377,-209.2279,3665.8256,-1670.4637,3263.101
473,236.5,-11.3804,36.6449,222.9075,83.0616,-206.8538,3649.3072,-1676.0868,3241.6317
474,237.0,-11.3069,36.4654,221.5368,85.2823,-204.4639,3633.4946,-1681.8138,3220.8361
475,237.5,-11.2315,36.288,220.19,87.4998,-202.0579,3618.4013,-1687.6457,3200.7311
476,238.0,-11.1542,36.1128,218.8677,89.714,-199.6358,3604.0405,-1693.5833,3181.3335
477,238.5,-11.0749,35.9396,217.5708,91.9248,-197.1975,3590.4252,-1699.6273,3162.6603
478,239.0,-10.9937,35.7686,216.3,94.1321,-194.743,3577.5683,-1705.7781,3144.7283
479,239.5,-10.9106,35.5997,215.0562,96.3358,-192.2721,3565.4824,-1712.0361,3127.5545
480,240.0,-10.8256,35.433,213.8401,98.5359,-189.7848,3554.1798,-1718.4013,3111.156
481,240.5,-10.7387,35.2685,212.6526,100.7323,-187.2809,3543.6727,-1724.8736,3095.5495
482,241.0,-10.6498,35.1061,211.4946,102.925,-184.7604,3533.9726,-1731.4528,3080.7521
483,241.5,-10.559,34.946,210.3669,105.1138,-182.2233,3525.0911,-1738.1384,3066.7804
484,242.0,-10.4663,34.7881,209.2704,107.2987,-179.6694,3517.0391,-1744.9297,3053.651
485,242.5,-10.3718,34.6324,208.2059,109.4796,-177.0986,3509.8274,-1751.8259,3041.3803
486,243.0,-10.2753,34.479,207.1744,111.6564,-174.511,3503.4662,-1758.8259,3029.9846
487,243.5,-10.1769,34.3279,206.1767,113.8291,-171.9063,3497.9652,-1765.9284,3019.4797
488,244.0,-10.0766,34.179,205.2139,115.9977,-169.2846,3493.3339,-1773.132,3009.8812
489,244.5,-9.9744,34.0324,204.2867,118.1619,-166.6457,3489.5811,-1780.4351,3001.2043
490,245.0,-9.8704,33.8881,203.3961,120.3219,-163.9897,3486.7153,-1787.8359,2993.4639
491,245.5,-9.7644,33.7462,202.543,122.4774,-161.3163,3484.7442,-1795.3324,2986.6743
492,246.0,-9.6566,33.6066,201.7284,124.6285,-158.6256,3483.6751,-1802.9226,2980.8493
493,246.5,-9.5469,33.4694,200.9532,126.7751,-155.9175,3483.515,-1810.6044,2976.0021
494,247.0,-9.4353,33.3345,200.2183,128.9171,-153.1919,3484.27,-1818.3752,2972.1455
495,247.5,-9.3219,33.202,199.5247,131.0545,-150.4488,3485.9456,-1826.2329,2969.2912
496,248.0,-9.2066,33.0719,198.8733,133.1871,-147.6881,3488.547,-1834.1748,2967.4506
497,248.5,-9.0895,32.9442,198.2649,135.3151,-144.9097,3492.0787,-1842.1986,2966.6341
498,249.0,-8.9704,32.819,197.7006,137.4382,-142.1135,3496.5444,-1850.3015,2966.8513
499,249.5,-8.8496,32.6962,197.1811,139.5565,-139.2996,3501.9474,-1858.4812,2968.111
500,250.0,-8.7269,32.5759,196.7075,141.6698,-136.4679,3508.2903,-1866.7352,2970.4209
501,250.5,-8.6023,32.458,196.2805,143.7782,-133.6183,3515.5752,-1875.0611,2973.788
502,251.0,-8.4759,32.3427,195.901,145.8816,-130.7507,3523.8035,-1883.4565,2978.218
503,251.5,-8.3477,32.2298,195.5699,147.98,-127.8651,3532.9759,-1891.9193,2983.7159
504,252.0,-8.2177,32.1195,195.2879,150.0733,-124.9615,3543.0928,-1900.4475,2990.2853
505,252.5,-8.0858,32.0117,195.0559,152.1614,-122.0398,3554.1538,-1909.0394,2997.9289
506,253.0,-7.9521,31.9065,194.8747,154.2444,-119.1,3566.1579,-1917.6935,3006.6483
507,253.5,-7.8166,31.8039,194.7449,156.3222,-116.142,3579.1037,-1926.4084,3016.4439
508,254.0,-7.6793,31.7038,194.6674,158.3947,-113.1658,3592.9891,-1935.1834,3027.3149
509,254.5,-7.5401,31.6064,194.6427,160.4619,-110.1714,3607.8115,-1944.0177,3039.2596
510,255.0,-7.3992,31.5115,194.6715,162.5239,-107.1587,3623.568,-1952.9112,3052.275
